Id,Url,Title,Artist,Mood,Rate
526229,http://e-cdn-preview-b.deezer.com/stream/b8a5a5230fe387b4893892d61567deb2-3.mp3,Funky Lowland,Kelly O'Brian,혐오,2.45
536440,http://ir.ii.uam.es/~ir/music/eb1a4252bae86bf44c92a1527a1e1fde-6.mp3,Blue Suede Shoes,Elvis Presley,혐오,4.97
585200,http://e-cdn-preview-1.deezer.com/stream/162556e710de45d2ce4df06679502f3d-1.mp3,Hesitation Blues (Live),Hot Tuna,공포,4.53
772894,http://e-cdn-preview-7.deezer.com/stream/7ea0e9f09d75794f63b15693e1988f49-4.mp3,Destinasi:Eterniti,M Nasir,기대,4.71
774905,http://e-cdn-preview-f.deezer.com/stream/f3faee0b5d15f049ad2ee71f3c0bce5a-3.mp3,El Abrazo Del Erizo,Mikel Erentxun,놀라움,4.31
861187,http://e-cdn-preview-1.deezer.com/stream/1e3722cb53a1786bb251b932936e92b6-4.mp3,Let It Go,Tenth Avenue North,분노,2.87
891436,http://e-cdn-preview-3.deezer.com/stream/3a88b0f8201c436ef5aca49c7822fc10-4.mp3,Flying Easy (Vocal),Tito Puente,혐오,3.82
936457,http://ir.ii.uam.es/~ir/music/7efa95f7280ad80ab0aa4ffeb01d170e-2.mp3,Films (Live 81),Gary Numan,슬픔,4.53
1103326,http://e-cdn-preview-a.deezer.com/stream/a1be651802f38717c6a1f4d1d60f4baa-4.mp3,Anfangsstadium (Highnz Fiction RMX Instrumental),Creutzfeld & Jakob,신뢰,2.60
1118030,http://e-cdn-preview-8.deezer.com/stream/838aaefb8d047d96b17eccd0dbd42b84-3.mp3,Vampire (BBC John Peel Session 1996),The Bluetones,혐오,3.91
1125208,http://e-cdn-preview-7.deezer.com/stream/7ae9cf70521dd41dfe11f67f8dceeadb-4.mp3,Just A Little Bit (Vito Benito Remix),Mutya Buena,공포,4.65
1209016,http://e-cdn-preview-2.deezer.com/stream/2f4db5017d0938d379beafba772a31b6-5.mp3,Symphony No. 4 In G Major: II. In gemachlicher Bewegung, ohne Hast,Various Artists,놀라움,2.61
1243656,http://e-cdn-preview-1.deezer.com/stream/1db2ee23b9d78b465aea726e1b791844-4.mp3,Go Team,The Hit Crew,공포,2.81
1286176,http://e-cdn-preview-c.deezer.com/stream/ca10bced6e7f81c1caf4b01c10d702ee-4.mp3,Warships,Oblivion,슬픔,4.03
1364404,http://e-cdn-preview-e.deezer.com/stream/ed3e4f223f1f5f9d9adbce9b8d79cd27-3.mp3,Change My Luck Blues,Blind Lemon Jefferson,분노,2.80
1400070,http://e-cdn-preview-0.deezer.com/stream/0e616063f50b5e8e0ab9f374c827fb3f-4.mp3,Puñalada,Carlos Campos,혐오,4.06
1481358,http://e-cdn-preview-9.deezer.com/stream/95afbce79f4670d6d14281b76a0e22b0-2.mp3,Nuevo York,North by Northwest Quartet,기대,4.55
1528629,http://e-cdn-preview-c.deezer.com/stream/c89f5a44b9881d841e7a1aa9b49fdf60-2.mp3,From Wyoming,Pistol River,혐오,4.35
1589044,http://e-cdn-preview-f.deezer.com/stream/f6b2c5597cf19df70ae460abdc890ea1-0.mp3,Bill Melton & The Light Crust Doughboys Theme,The Light Crust Doughboys,기대,4.48
1672747,http://e-cdn-preview-0.deezer.com/stream/0edb2d6bc4cdf91222b58cc200f19357-4.mp3,Burnin' Rubber,The Pirates,기쁨,2.30
1674626,http://e-cdn-preview-f.deezer.com/stream/f4faca6fa1d1133934cef695b7ea3de9-4.mp3,Rock Boppin' Again,The Corwood Draggers,분노,3.80
1702066,http://e-cdn-preview-c.deezer.com/stream/c9c0733fefc5f144371509dfe3c65d78-0.mp3,The Water Is Wide (In The Style Of Hayley Westenra),Karaoke - Ameritz,기쁨,2.21
1711270,http://e-cdn-preview-7.deezer.com/stream/71f17dcaa747c3d7e8faaf83c24501de-0.mp3,Tres Amores,Farid Ortiz,혐오,2.05
1730398,http://e-cdn-preview-9.deezer.com/stream/9fdb6b822557d3a15d643e75c7d9c135-2.mp3,Il Était Un Petit Navire,Môm'Song,혐오,3.99
1805436,http://e-cdn-preview-0.deezer.com/stream/0920ebc01f38d744b409095b2200e8d6-3.mp3,Senses,Dorian Gray,슬픔,2.13
1863914,http://e-cdn-preview-4.deezer.com/stream/41a5fab4aedc937d641df653cfea9c6a-3.mp3,Fucked,Bantha Fodder,기대,3.16
1869815,http://e-cdn-preview-d.deezer.com/stream/ddbc07b2468af87df9f448bc7710a3c6-5.mp3,Since I've Been Loving You,Letz Zep,놀라움,2.05
1926589,http://e-cdn-preview-d.deezer.com/stream/da30ed75d145a0f9a03579e7207a0ba0-4.mp3,The Ear Is On Strike,Dr. John,놀라움,3.47
1936363,http://e-cdn-preview-e.deezer.com/stream/ecb28975c28f1931bcb14337c588c70f-3.mp3,Valan kade,Chamara Ranawaka,분노,4.59
1955175,http://e-cdn-preview-3.deezer.com/stream/3945aaca7cbb1701455634e665e6a237-2.mp3,Tomorrow Never Comes,Leeza Miller,혐오,2.91
